module_group,avg_total_l2,avg_ratio,ratio_std,avg_ma_total,avg_std_total,avg_sparsity,avg_heavy_tail,stability_ratio,recommended_bits,rationale
image_encoder.trunk.blocks.14,0.020424438548968492,0.00017091741999109567,4.108948127981366e-05,0.020512409457673665,0.0047146843067339276,0.9619784279604886,69109.2049531535,0.22984546581241194,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.15,0.0196947306940867,0.00017605064130098903,4.276952775540906e-05,0.019795396088766733,0.004534958576868713,0.9627974210124337,71225.36537352171,0.22909158051362052,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.16,0.021795289115738855,0.0001799257858571245,4.7163799319006724e-05,0.021908072633913984,0.0054697173242586015,0.9630070789468289,54653.113339160875,0.24966675141433514,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.17,0.016793239332366244,0.00015599078864257426,4.107900585403546e-05,0.01688087236444766,0.0042890973096541395,0.9643138263706557,65685.60486971885,0.2540803115535243,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.18,0.014845555935509132,0.00014645373635157065,4.1380027178394504e-05,0.014928710259091678,0.004014538047969015,0.9652076435314426,119413.140434255,0.268913923459941,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.19,0.013846443123824152,0.00014371190859618224,4.253709535941836e-05,0.013908648749379004,0.003806884563059703,0.9664463610989749,178691.27919997377,0.2737062838853899,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.2,0.0473154170529834,0.000688343486361318,0.0001501056063736763,0.04758171290418516,0.009927809904606089,0.9583891332072566,93267.22576191452,0.20864759376354575,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.20,0.01306029434087587,0.00016204111077116823,5.3184210455833314e-05,0.013125804564266336,0.0038997481598415594,0.9685962458172486,50551.564645900624,0.29710545671678107,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.21,0.0059610313475949635,0.00011163949191096687,3.708243967212713e-05,0.0059731282810496136,0.001868455611834826,0.973790318345861,112246.04213872546,0.3128102267220178,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.22,0.002386981273635583,9.927160148850762e-05,3.511982815325838e-05,0.002389629730049021,0.0007894620329846102,0.9743975986665268,328185.086745919,0.3303700247186057,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.23,0.0023419559760621605,0.00011591333734374324,4.004226860202295e-05,0.0023455238069339922,0.0007646412571495314,0.9732533877810325,487794.3305212473,0.3260002115045895,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.3,0.021501202018735847,0.00023234271349109316,5.2780756560626585e-05,0.02162674683741782,0.004761312151269573,0.9614853052180846,77137.48712200565,0.22015850035437234,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.4,0.023128932133036156,0.00026445270454579864,5.9804528277328165e-05,0.02326738397951594,0.005062376483047262,0.9594828903371887,146176.2422562691,0.21757394331498806,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.5,0.04631804936276319,0.00036575109351248594,7.820637574007241e-05,0.04657330081052431,0.009617990138426293,0.9655098926185834,101057.59687394125,0.2065129585200645,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.6,0.021356773682505856,0.00013516930132722847,3.099607185157176e-05,0.021416269772762925,0.004673265205893753,0.9653339078613163,131050.14313021327,0.21821097957204394,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.7,0.021462359737320778,0.00014344555441028704,3.224418088723887e-05,0.021561802469327027,0.0046212170674178295,0.9649949452585531,61019.23424516238,0.2143242464998829,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.8,0.022628681767598566,0.00015270735698531547,3.43301100376716e-05,0.022753463064215135,0.004891462835651395,0.9634202804219946,42617.063514876485,0.2149766311109057,32,Extreme gradient-to-weight scaling
image_encoder.trunk.blocks.9,0.022857164198364404,0.00016394702042993705,3.801882721099976e-05,0.022959462292089207,0.00514912706991077,0.9627268246985904,183760.11698511665,0.22427036854800064,32,Extreme gradient-to-weight scaling
image_encoder.trunk.patch_embed.proj,0.07766938807554138,0.01552212530567727,0.0020574615571618935,0.0775753154552027,0.010271033383393895,0.9550579474400491,6643.653572200698,0.1324007942877795,32,Extreme gradient-to-weight scaling
image_encoder.trunk.pos_embed,0.0058850865347979025,0.0024466528497528355,0.0005950090919957376,0.005901296739033646,0.0013133945405241327,0.9990825089340775,773223.9226051568,0.22256032845065926,32,Extreme gradient-to-weight scaling
image_encoder.trunk.pos_embed_window,0.0067213930533793955,0.00316302187267179,0.0009252011961740632,0.006726570042307194,0.0018321918113908826,0.9889907172900633,129932.94234734816,0.27238128791749655,32,Extreme gradient-to-weight scaling
mask_downsample.bias,6.302021104710731e-07,2.8010682650474073e-06,9.071483882013581e-06,6.709187960284439e-07,1.1664872311653556e-06,0.14,0.86,1.7386414541826338,16,High gradient dynamics or heavy tails
mask_downsample.weight,5.656524363797933e-07,3.2312195272890266e-06,1.322174188693836e-05,5.845080054392085e-07,1.3720521716005339e-06,0.25367898642117875,0.960005144197636,2.347362497746378,16,High gradient dynamics or heavy tails
maskmem_tpos_enc,0.00014968886767232817,3.9884490643273426e-05,3.315719065433398e-05,0.00015203579178318613,0.00011991328332171991,0.9665318791061601,1207.7994067869154,0.788717458667396,32,Extreme gradient-to-weight scaling
memory_attention.layers.0.cross_attn_image,0.006409599854915163,0.0005585057893668345,0.00031533060644709903,0.006502254737972607,0.0034585092345728228,0.9543036077242573,21194.94497122207,0.5318938389748754,32,Extreme gradient-to-weight scaling
memory_attention.layers.0.linear1,0.003227019150064398,0.0001087723062328729,5.973551487573603e-05,0.0032757173997087084,0.001750811814479658,0.9914018814999371,295096.8922370409,0.5344819472630173,32,Extreme gradient-to-weight scaling
memory_attention.layers.0.linear2,0.002351943666094089,0.00032721957235640995,0.00018893926294044036,0.002388630614389125,0.0012813459848043998,0.9537303817394858,23815.700666494165,0.5364353856496538,32,Extreme gradient-to-weight scaling
memory_attention.layers.0.norm1,0.00021009550983100544,5.446766194955789e-05,3.535002026875418e-05,0.00021306689409691636,0.00013346637606583624,0.9329508723921908,542.8281231527446,0.6264059774820168,32,Extreme gradient-to-weight scaling
memory_attention.layers.0.norm2,9.521788865393556e-05,1.2264287962802857e-05,9.130046053291225e-06,9.697278029359904e-05,6.911870908746782e-05,0.9255231195050035,198.69173727163584,0.7127640238652638,32,Extreme gradient-to-weight scaling
memory_attention.layers.0.norm3,0.00037206256556156285,0.00010160994676181277,5.9658880548065876e-05,0.00037637910046661586,0.0002162008701986356,0.9292670170061024,209.536266006133,0.5744231545550766,32,Extreme gradient-to-weight scaling
memory_attention.layers.0.self_attn,0.0016429007968989263,0.0005492410619704454,0.000328969033364861,0.0016652087334936662,0.0009555075049686955,0.9625884537985087,65197.41515620844,0.5738064458525913,32,Extreme gradient-to-weight scaling
memory_attention.layers.1.cross_attn_image,0.006465159477741931,0.00023776987353857175,0.0001446006141296104,0.006548901517087813,0.003857030307118993,0.9538324864196426,49800.841669562695,0.5889583614984868,32,Extreme gradient-to-weight scaling
memory_attention.layers.1.linear1,0.0023838114243863342,8.23730848161234e-05,4.735522175098896e-05,0.002427170296560998,0.0013272783546146025,0.9949002028868167,273806.6761943116,0.5468418744639355,32,Extreme gradient-to-weight scaling
memory_attention.layers.1.linear2,0.0016251639818501249,0.0002349897298845164,0.00013621005054052424,0.0016537675437644482,0.000912157229394756,0.9597173802660991,57322.29905454335,0.5515631461229582,32,Extreme gradient-to-weight scaling
memory_attention.layers.1.norm1,0.00037361437235624044,8.066269090682128e-05,5.178736355878411e-05,0.000379762397912765,0.00023626072769759672,0.9312544402765822,428.31057737078555,0.6221277540802448,32,Extreme gradient-to-weight scaling
memory_attention.layers.1.norm2,0.00015969709520801268,3.146871882156965e-05,2.5334743611192413e-05,0.00016107167329942778,0.00012167515476215882,0.9230693867116916,467.72454827792154,0.7554100126343636,32,Extreme gradient-to-weight scaling
memory_attention.layers.1.norm3,0.0002161513186647228,2.816351241869111e-05,1.8452690317648376e-05,0.00021999841287548524,0.00013472283461261634,0.9196206091634281,246.48615711401382,0.6123809388064395,32,Extreme gradient-to-weight scaling
memory_attention.layers.1.self_attn,0.0034961363021514123,0.00019787366600583744,0.00011731172523515186,0.0035600937967005812,0.002075657734470377,0.9624783239217143,82020.01956285538,0.5830345639752673,32,Extreme gradient-to-weight scaling
memory_attention.layers.2.cross_attn_image,0.0031297441971945695,0.00017336756303422946,0.000104326076666608,0.0031765703434041078,0.0018870360635215718,0.9582034613763156,65199.972829352344,0.5940482531544911,32,Extreme gradient-to-weight scaling
memory_attention.layers.2.linear1,0.0026255649797630926,9.163153091586717e-05,5.217724486735525e-05,0.00266645167620557,0.001467454258169071,0.9948509163116684,1502832.7213131313,0.5503397159843888,32,Extreme gradient-to-weight scaling
memory_attention.layers.2.linear2,0.0014821954872312072,0.0002146851955563264,0.00012537181006434727,0.0015081577337539731,0.0008258937605420173,0.9647040289836559,57007.66836710739,0.5476176278235005,32,Extreme gradient-to-weight scaling
memory_attention.layers.2.norm1,0.0003645567500996094,8.114032872106323e-05,5.516381864597967e-05,0.00037140758743828907,0.00024292844262244494,0.9316037459286859,686.1293640839493,0.654075066958099,32,Extreme gradient-to-weight scaling
memory_attention.layers.2.norm2,0.00010633584824358012,1.9454356019472136e-05,1.4719733511130474e-05,0.00010746738031722076,7.458645610877662e-05,0.9262614477008294,129.433133886942,0.6940380968496053,32,Extreme gradient-to-weight scaling
memory_attention.layers.2.norm3,0.00023047272407169479,3.578571809798e-05,2.28224494259087e-05,0.00023396698947708198,0.00014300650029016075,0.924627497566522,702.4396361861902,0.6112251160293226,32,Extreme gradient-to-weight scaling
memory_attention.layers.2.self_attn,0.004321448292721186,0.00016787226074207716,9.892908115263061e-05,0.004391466275324094,0.0025174829801657772,0.9694795783821759,259088.6053242365,0.5732670644225737,32,Extreme gradient-to-weight scaling
memory_attention.layers.3.cross_attn_image,0.0029194321789569985,0.00012008356642975634,7.31548218094097e-05,0.0029741763961838264,0.0017418960040400165,0.9595065940733837,93057.06469944387,0.5856734006345582,32,Extreme gradient-to-weight scaling
memory_attention.layers.3.linear1,0.002388836071984117,8.07796015841928e-05,4.628385711913895e-05,0.002425289864065963,0.0013508135734557,0.9946093133529518,216660.0160584596,0.5569699496418464,32,Extreme gradient-to-weight scaling
memory_attention.layers.3.linear2,0.0012487375037079325,0.00011991559916307842,7.498199586133938e-05,0.0012709868386403642,0.000712464235410623,0.9774909496364633,138883.29597539493,0.5605598844538628,32,Extreme gradient-to-weight scaling
memory_attention.layers.3.norm1,0.00037831831472005985,0.00010100407773702507,5.8847048919049795e-05,0.0003871532120310232,0.00021332709821967875,0.9308228308877725,533.4600775824418,0.5510146670372569,32,Extreme gradient-to-weight scaling
memory_attention.layers.3.norm2,0.00010036452901551269,1.4997617983550579e-05,1.0937440522109072e-05,0.00010159984766393152,7.048243722702927e-05,0.9303210801033827,848.4622275191743,0.6937258160087864,32,Extreme gradient-to-weight scaling
memory_attention.layers.3.norm3,0.00023861464287941325,3.886590775976713e-05,2.380536085089875e-05,0.00024143686566103378,0.0001415108993892669,0.924181597179398,347.5210212883208,0.5861196839257419,32,Extreme gradient-to-weight scaling
memory_attention.layers.3.self_attn,0.005472439393384854,0.00017251420948896605,9.696456771498914e-05,0.005588994812877266,0.002993907165710545,0.9741044272512988,310566.7812190497,0.5356790023874175,32,Extreme gradient-to-weight scaling
